file_name,corpus_origin,total_words,postural_contortion_raw_count,postural_contortion_density_10k,apparatus_pole_raw_count,apparatus_pole_density_10k,subaltern_tribal_raw_count,subaltern_tribal_density_10k,poison_necromancy_raw_count,poison_necromancy_density_10k,sorcery_magic_raw_count,sorcery_magic_density_10k,espionage_subversion_raw_count,espionage_subversion_density_10k,climbing_leaping_raw_count,climbing_leaping_density_10k,caravan_trade_transit_raw_count,caravan_trade_transit_density_10k
krdipc_u.htm,GRETIL,40348,197,48.83,73,18.09,0,0.0,144,35.69,35,8.67,73,18.09,0,0.0,9,2.23
karatopu.htm,GRETIL,1905,1,5.25,0,0.0,1,5.25,2,10.5,0,0.0,0,0.0,1,5.25,0,0.0
sb_04_u.htm,GRETIL,15138,1,0.66,0,0.0,0,0.0,17,11.23,5,3.3,59,38.97,0,0.0,4,2.64
b07c053.htm,GRETIL,123,2,162.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
avsata_u.htm,GRETIL,78927,238,30.15,49,6.21,7,0.89,332,42.06,27,3.42,124,15.71,1,0.13,195,24.71
sa_jJAnazambhu-zivapUjAstava.htm,GRETIL,1194,3,25.13,0,0.0,0,0.0,5,41.88,0,0.0,0,0.0,0,0.0,2,16.75
bahcar7u.htm,GRETIL,2932,9,30.7,11,37.52,1,3.41,27,92.09,4,13.64,21,71.62,0,0.0,11,37.52
mbhx_35.htm,GRETIL,9000,0,0.0,0,0.0,0,0.0,1,1.11,0,0.0,1,1.11,0,0.0,3,3.33
paratriu.htm,GRETIL,798,2,25.06,0,0.0,0,0.0,1,12.53,1,12.53,2,25.06,0,0.0,0,0.0
sa_zivasaMkalpopaniSad.htm,GRETIL,939,0,0.0,1,10.65,0,0.0,1,10.65,0,0.0,3,31.95,0,0.0,1,10.65
mbhx_20.htm,GRETIL,1281,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.81,0,0.0,0,0.0
ratnakeu.htm,GRETIL,19129,41,21.43,12,6.27,1,0.52,158,82.6,19,9.93,21,10.98,0,0.0,52,27.18
sa_mArIcInAmadhAraNI.htm,GRETIL,930,0,0.0,3,32.26,0,0.0,1,10.75,0,0.0,0,0.0,0,0.0,0,0.0
sa_rAmAnuja-vedArthasaMgraha.htm,GRETIL,27854,20,7.18,11,3.95,1,0.36,307,110.22,53,19.03,32,11.49,0,0.0,11,3.95
prakp05u.htm,GRETIL,1267,0,0.0,0,0.0,0,0.0,18,142.07,1,7.89,1,7.89,0,0.0,0,0.0
dhatup_u.htm,GRETIL,854,0,0.0,0,0.0,0,0.0,2,23.42,0,0.0,0,0.0,0,0.0,2,23.42
